"ENV_fun","gene_name","n"
"NH4.N","amoa_quasi",1
"NH4.N","hzsa",1
"NH4.N","p450nor",1
"NH4.N","urec",1
"NO3.N","hzo",1
"NO3.N","nirk",1
"NO3.N","norb",2
"NO3.N","urec",1
"TN","amoa",1
"TN","nirk",1
"TN","norb",1
