"gene_ID","slope","p_value","ENV_fun","gene_name","gene_taxa","Study"
"nrfa superkingdom:Bacteria",0.37440295267043,0.00874977481277805,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.49761181068172,0.000320028169622815,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.480243161094225,0.000551445381390841,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nrfa superkingdom:Bacteria",-0.500832562442183,0.000392654898572432,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",0.511615284411637,0.000201967657355703,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"amoa_quasi superkingdom:Archaea",0.501953973078593,0.000278048667433957,"NH4.N","amoa_quasi","superkingdom:Archaea","Altitude (HKV)"
"gdh superkingdom:Bacteria",0.547329570125923,5.67839745447854e-05,"NH4.N","gdh","superkingdom:Bacteria","Altitude (HKV)"
"nirk superkingdom:Eukaryota",0.486322188449848,0.000457313095908963,"NH4.N","nirk","superkingdom:Eukaryota","Altitude (HKV)"
"nosz superkingdom:Archaea",0.467759444203213,0.000801309412180332,"NH4.N","nosz","superkingdom:Archaea","Altitude (HKV)"
"nasa superkingdom:Bacteria",-0.362195497995683,0.0133778297026168,"NH4.N","nasa","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",0.653169778549718,4.84985726237468e-07,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"narb superkingdom:Archaea",-0.563178462874511,3.08328365455769e-05,"NH4.N","narb","superkingdom:Archaea","Altitude (HKV)"
"nitrate_reductase superkingdom:Eukaryota",-0.498371689101172,0.000312291449147952,"NH4.N","nitrate_reductase","superkingdom:Eukaryota","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.4398610508033,0.00175836235376623,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nitrate_reductase superkingdom:Eukaryota",0.666310160427807,1.69462212734316e-05,"NH4.N","nitrate_reductase","superkingdom:Eukaryota","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.521602257924446,0.000143659399048921,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.602301272182157,2.44181706384506e-05,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.536148501953973,8.57892741715381e-05,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nitrate_reductase superkingdom:Eukaryota",-0.366271409749671,0.0133405983519345,"NH4.N","nitrate_reductase","superkingdom:Eukaryota","Altitude (HKV)"
"nirk superkingdom:Bacteria",-0.425640468953539,0.00256072985535533,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",0.388514980460269,0.00635518195913245,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"ammonium_transporter superkingdom:Eukaryota",0.509815765629719,0.00047926908676163,"NH4.N","ammonium_transporter","superkingdom:Eukaryota","Altitude (HKV)"
