"ENV_fun","gene_name","n"
"NH4.N","amoa",2
"NH4.N","gdh",2
"NH4.N","glna_fungi",1
"NH4.N","hao",1
"NH4.N","hzo",1
"NH4.N","napa",1
"NH4.N","narg",1
"NH4.N","nasa",1
"NH4.N","nifh",2
"NH4.N","nir",1
"NH4.N","nira",2
"NH4.N","nirb",1
"NH4.N","nirk",2
"NH4.N","nirs",1
"NH4.N","norb",1
"NH4.N","nosz",1
"NH4.N","nrfa",1
"NH4.N","urec",1
