Index,Group,obs,mean,stdev,Min,Quantile25,Median,Quantile75,Max,LowerWhisker,LowerHinge,Median.1,HigherHinge,HigherWhisker,Outlier1,Outlier2,Outlier3
1,ST,AND,0.859718068664651,0.857657690039169,0.0171114538725905,0.822371848145654,0.843022471907454,0.856734802096985,0.870352471184771,0.895355025110758,0.822371848145654,0.843022471907454,0.856734802096985,0.870352471184771,0.895355025110758,NA,NA,NA
2,ST,BCI,0.860323359768876,0.858339759706445,0.0155466204739072,0.813406014187733,0.848988179029063,0.859072387899503,0.871147051744311,0.889264312594539,0.825736016775834,0.848988179029063,0.859072387899503,0.871147051744311,0.889264312594539,0.813406014187733,NA,NA
3,ST,CBF,0.818490636419451,0.82343364624878,0.0177341815242818,0.775880170584353,0.813449481812184,0.823795724138629,0.833012124868105,0.875257429568815,0.785660691077399,0.813449481812184,0.823795724138629,0.833012124868105,0.857206693965107,0.875257429568815,0.775880170584353,0.867307454123075
4,ST,HFR,0.734305303386409,0.740376004587178,0.0292328881046237,0.67191395823602,0.71837390359738,0.740557656885207,0.759820412128496,0.813243139111801,0.67191395823602,0.71837390359738,0.740557656885207,0.759820412128496,0.813243139111801,NA,NA,NA
5,ST,LUQ,0.868894410911812,0.867108722964496,0.0190922274477982,0.81798427427052,0.855837048682262,0.868894410911812,0.880600119085143,0.906363810772559,0.819200674392702,0.855837048682262,0.868894410911812,0.880600119085143,0.906363810772559,0.81798427427052,NA,NA
6,ST,NWT,0.808456729773219,0.809549773620134,0.0208541739516272,0.747731584494243,0.794987252910931,0.809222672142717,0.822315344871076,0.873393160309175,0.761058271012434,0.794987252910931,0.809222672142717,0.822315344871076,0.859998958057991,0.873393160309175,0.747731584494243,NA
7,NST,AND,0.76390673548531,0.755973498304692,0.0367289069546332,0.685001361775617,0.726498652638346,0.75491825738495,0.784327498305173,0.837417744130229,0.685001361775617,0.726498652638346,0.75491825738495,0.784327498305173,0.837417744130229,NA,NA,NA
8,NST,BCI,0.758544581830404,0.74893947253568,0.0324844697950605,0.671008900011178,0.727213636207938,0.749694364339144,0.774825250487971,0.814560078092773,0.671008900011178,0.727213636207938,0.749694364339144,0.774825250487971,0.814560078092773,NA,NA,NA
9,NST,CBF,0.703387003688397,0.706180516849028,0.0345582274500822,0.612161178629447,0.688170052317532,0.707000059772026,0.726172401975676,0.80817107746437,0.633946954125726,0.688170052317532,0.707000059772026,0.726172401975676,0.781371521786219,0.80817107746437,0.612161178629447,0.621332130012711
10,NST,HFR,0.574017499633996,0.580508297539819,0.0484064373613082,0.471173169781977,0.544698669795423,0.576971317922016,0.614230618733993,0.708443357096183,0.471173169781977,0.544698669795423,0.576971317922016,0.614230618733993,0.708443357096183,NA,NA,NA
11,NST,LUQ,0.789971715093537,0.779830890354468,0.0407928132698988,0.679376021819185,0.75357101461912,0.784484214157502,0.809449338123539,0.869268644554285,0.679376021819185,0.75357101461912,0.784484214157502,0.809449338123539,0.869268644554285,NA,NA,NA
12,NST,NWT,0.713595764350847,0.708256771803783,0.0369724807495146,0.605214725171715,0.686273778076359,0.709998530923935,0.732742498404273,0.822459698765924,0.624128502919179,0.686273778076359,0.709998530923935,0.732742498404273,0.798636769533875,0.822459698765924,0.605214725171715,NA
13,MST,AND,0.720618195267706,0.716676387576731,0.0341008865910655,0.646748436348889,0.690145615036773,0.714178188078422,0.743170500427986,0.793556752690023,0.646748436348889,0.690145615036773,0.714178188078422,0.743170500427986,0.793556752690023,NA,NA,NA
14,MST,BCI,0.714507108686326,0.710213446249913,0.0307597384097252,0.633135665988557,0.690339082696447,0.713452633509621,0.735277277970465,0.771188124313509,0.633135665988557,0.690339082696447,0.713452633509621,0.735277277970465,0.771188124313509,NA,NA,NA
15,MST,CBF,0.647855833586736,0.657352236099152,0.031766484569351,0.570024988375688,0.640424287228467,0.65917137618449,0.675314341714024,0.747813478685371,0.588256191196345,0.640424287228467,0.65917137618449,0.675314341714024,0.727565974622114,0.747813478685371,0.570024988375688,0.578474940852851
16,MST,HFR,0.532837501587927,0.542931152918846,0.0474421704552651,0.433682252447924,0.508360409736069,0.538783856223785,0.573675926142779,0.66462048011914,0.433682252447924,0.508360409736069,0.538783856223785,0.573675926142779,0.66462048011914,NA,NA,NA
17,MST,LUQ,0.732959290491265,0.729086267836559,0.0372957622454213,0.635382869530373,0.706197355275781,0.731184466925154,0.755268732469611,0.80994804188337,0.635382869530373,0.706197355275781,0.731184466925154,0.755268732469611,0.80994804188337,NA,NA,NA
18,MST,NWT,0.658757621989226,0.660572569488284,0.0348672394736499,0.561753165536922,0.638049049855295,0.659077367978629,0.683303755861584,0.771604022506563,0.580551822386736,0.638049049855295,0.659077367978629,0.683303755861584,0.740231241050761,0.771604022506563,0.561753165536922,NA
