index,group1,group2,Index.group1,Index.group2,Difference,F.obs,P.anova,P.panova,P.perm
1,ST,all.grp,all.grp,NA,NA,NA,61.9544402267143,8.10655618981305e-58,0.0099009900990099,NA
2,ST,1,2,0.859718068664651,0.860323359768876,-0.000605291104224803,0.00484040150716763,0.944566802966496,0.95049504950495,0.297029702970297
3,ST,1,3,0.859718068664651,0.818490636419451,0.0412274322452003,20.8305645366842,6.60640043564996e-06,0.118811881188119,0.475247524752475
4,ST,1,4,0.859718068664651,0.734305303386409,0.125412765278242,172.444647971284,3.20094005468701e-33,0.0099009900990099,0.5
5,ST,1,5,0.859718068664651,0.868894410911812,-0.00917634224716124,1.05066913481566,0.305945843350367,0.514851485148515,0.178217821782178
6,ST,1,6,0.859718068664651,0.808456729773219,0.0512613388914316,27.9087071018918,2.05105209520767e-07,0.0594059405940594,0.495049504950495
7,ST,2,3,0.860323359768876,0.818490636419451,0.0418327233494251,24.6378076088059,1.0091713147954e-06,0.0099009900990099,0.5
8,ST,2,4,0.860323359768876,0.734305303386409,0.126018056382467,196.931972055366,6.26850781600158e-37,0.0099009900990099,0.5
9,ST,2,5,0.860323359768876,0.868894410911812,-0.00857105114293644,1.05586560170005,0.30475428051699,0.742574257425743,0.212871287128713
10,ST,2,6,0.860323359768876,0.808456729773219,0.0518666299956564,32.1842215201325,2.62250243747953e-08,0.0099009900990099,0.5
11,ST,3,4,0.818490636419451,0.734305303386409,0.0841853330330419,81.8902260446981,5.49323358491241e-18,0.0099009900990099,0.5
12,ST,3,5,0.818490636419451,0.868894410911812,-0.0504037744923616,33.6580139770789,1.29883092713396e-08,0.0297029702970297,0.0198019801980198
13,ST,3,6,0.818490636419451,0.808456729773219,0.0100339066462313,1.12502267663324,0.28945197411091,0.673267326732673,0.376237623762376
14,ST,4,5,0.734305303386409,0.868894410911812,-0.134589107525403,212.876470650674,2.90048796314162e-39,0.0099009900990099,0.00495049504950495
15,ST,4,6,0.734305303386409,0.808456729773219,-0.0741514263868106,55.482256630123,5.45211038447457e-13,0.0099009900990099,0.00495049504950495
16,ST,5,6,0.868894410911812,0.808456729773219,0.0604376811385928,41.4898122587694,3.26274328378865e-10,0.0099009900990099,0.5
17,NST,all.grp,all.grp,NA,NA,NA,33.0850101087529,8.69309673894083e-32,0.0099009900990099,NA
18,NST,1,2,0.76390673548531,0.758544581830404,0.00536215365490655,0.0822567448859802,0.774404227306125,0.821782178217822,0.306930693069307
19,NST,1,3,0.76390673548531,0.703387003688397,0.0605197317969131,9.9632239590436,0.00171260369341081,0.237623762376238,0.455445544554455
20,NST,1,4,0.76390673548531,0.574017499633996,0.189889235851314,95.9273080234975,1.5796667633745e-20,0.0099009900990099,0.5
21,NST,1,5,0.76390673548531,0.789971715093537,-0.0260649796082274,1.82871571577864,0.177010456612013,0.316831683168317,0.108910891089109
22,NST,1,6,0.76390673548531,0.713595764350847,0.0503109711344626,6.40473457296366,0.011747572380815,0.316831683168317,0.440594059405941
23,NST,2,3,0.758544581830404,0.703387003688397,0.0551575781420065,9.23695570462816,0.00252074635448349,0.0099009900990099,0.48019801980198
24,NST,2,4,0.758544581830404,0.574017499633996,0.184527082196408,100.847681444948,2.11398313429179e-21,0.0099009900990099,0.5
25,NST,2,5,0.758544581830404,0.789971715093537,-0.031427133263134,2.96363989384997,0.0858959040202753,0.534653465346535,0.158415841584158
26,NST,2,6,0.758544581830404,0.713595764350847,0.044948817479556,5.66002285347421,0.017804012665365,0.0198019801980198,0.48019801980198
27,NST,3,4,0.703387003688397,0.574017499633996,0.129369504054401,47.0511540361862,2.50035438747404e-11,0.0099009900990099,0.5
28,NST,3,5,0.703387003688397,0.789971715093537,-0.0865847114051405,21.3387654348563,5.13255145097503e-06,0.0396039603960396,0.0297029702970297
29,NST,3,6,0.703387003688397,0.713595764350847,-0.0102087606624505,0.277897057733255,0.59836254479189,0.831683168316832,0.217821782178218
30,NST,4,5,0.574017499633996,0.789971715093537,-0.215954215459542,129.688967730701,2.35979651268526e-26,0.0099009900990099,0.00495049504950495
31,NST,4,6,0.574017499633996,0.713595764350847,-0.139578264716852,50.8274196301157,4.4622095393417e-12,0.0099009900990099,0.00495049504950495
32,NST,5,6,0.789971715093537,0.713595764350847,0.07637595074269,15.3945361975955,0.000101973629249109,0.0099009900990099,0.5
33,MST,all.grp,all.grp,NA,NA,NA,39.2116291506146,1.66179746582787e-37,0.0099009900990099,NA
34,MST,1,2,0.720618195267706,0.714507108686326,0.00611108658138071,0.130502934767341,0.718093664617237,0.782178217821782,0.316831683168317
35,MST,1,3,0.720618195267706,0.647855833586736,0.0727623616809702,17.7248789768389,3.12753626026648e-05,0.138613861386139,0.47029702970297
36,MST,1,4,0.720618195267706,0.532837501587927,0.187780693679779,120.172005669928,9.47235338329357e-25,0.0099009900990099,0.5
37,MST,1,5,0.720618195267706,0.732959290491265,-0.0123410952235586,0.491654057283674,0.483580553926727,0.613861386138614,0.178217821782178
38,MST,1,6,0.720618195267706,0.658757621989226,0.06186057327848,12.2832472278934,0.000506442507502046,0.158415841584158,0.47029702970297
39,MST,2,3,0.714507108686326,0.647855833586736,0.0666512750995895,16.9461461380788,4.63495988474064e-05,0.0099009900990099,0.495049504950495
40,MST,2,4,0.714507108686326,0.532837501587927,0.181669607098399,128.481112027337,3.75658924928891e-26,0.0099009900990099,0.5
41,MST,2,5,0.714507108686326,0.732959290491265,-0.0184521818049393,1.24615410596081,0.26492958564064,0.742574257425743,0.237623762376238
42,MST,2,6,0.714507108686326,0.658757621989226,0.0557494866970993,11.3021796920665,0.000845415212175456,0.0099009900990099,0.49009900990099
