Index,Group,obs,mean,stdev,Min,Quantile25,Median,Quantile75,Max,LowerWhisker,LowerHinge,Median.1,HigherHinge,HigherWhisker,Outlier1,Outlier2,Outlier3,Outlier4,Outlier5,Outlier6,Outlier7,Outlier8,Outlier9,Outlier10,Outlier11,Outlier12,Outlier13,Outlier14,Outlier15,Outlier16,Outlier17,Outlier18,Outlier19,Outlier20,Outlier21,Outlier22,Outlier23,Outlier24,Outlier25,Outlier26,Outlier27
1,ST,C,0.782575770546473,0.776529702321273,0.0695496785578563,0.628101784685829,0.742115436578465,0.782575770546473,0.80476278498857,0.926024428120467,0.684529212039035,0.742115436578465,0.782575770546473,0.80476278498857,0.862254727917456,0.628101784685829,0.915561499330258,0.628101784685829,0.915561499330258,0.628101784685829,0.926024428120467,0.926024428120467,0.926024428120467,0.915561499330258,0.915561499330258,0.915561499330258,0.926024428120467,0.628101784685829,0.628101784685829,0.628101784685829,0.628101784685829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ST,D,0.922210796578216,0.926051422988414,0.0298335439216032,0.875565397579155,0.909804205188757,0.922210796578216,0.939502910460403,0.998649135686865,0.875565397579155,0.909804205188757,0.922210796578216,0.939502910460403,0.942422543924201,0.998649135686865,0.998649135686865,0.998649135686865,0.998649135686865,0.998649135686865,0.998649135686865,0.998649135686865,0.998649135686865,0.998649135686865,0.998649135686865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ST,E,0.890486534791225,0.894717652096663,0.0456420489374772,0.795069571519977,0.878680303395417,0.890486534791225,0.929017308938321,0.993423084431332,0.825959765805442,0.878680303395417,0.890486534791225,0.929017308938321,0.993423084431332,0.795069571519977,0.795069571519977,0.795069571519977,0.795069571519977,0.795069571519977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ST,F,0.865058198033799,0.86963951664767,0.0504572620768032,0.799546505274806,0.830983089316648,0.868815957856827,0.889103086109596,0.982619353754071,0.799546505274806,0.830983089316648,0.868815957856827,0.889103086109596,0.911306178125629,0.982619353754071,0.982619353754071,0.982619353754071,0.982619353754071,0.982619353754071,0.982619353754071,0.982619353754071,0.982619353754071,0.982619353754071,0.982619353754071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ST,G,0.934107592114659,0.934562634443899,0.0173522507335207,0.888267589880448,0.926164803867744,0.935437097396483,0.950503563901314,0.955750790516977,0.915117541990014,0.926164803867744,0.935437097396483,0.950503563901314,0.955750790516977,0.888267589880448,0.888267589880448,0.888267589880448,0.888267589880448,0.888267589880448,0.888267589880448,0.888267589880448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,ST,H,0.880169764858628,0.883478233229955,0.051497983067643,0.72409352525711,0.852975538959193,0.892898614142548,0.925141729630306,0.953009438627936,0.806061930579228,0.852975538959193,0.892898614142548,0.925141729630306,0.953009438627936,0.72409352525711,0.72409352525711,0.72409352525711,0.72409352525711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ST,I,0.875718580107014,0.864056627066187,0.0662548307610013,0.750454688976017,0.819210910459598,0.859354216123641,0.875718580107014,0.998940620174558,0.750454688976017,0.819210910459598,0.859354216123641,0.875718580107014,0.959971010188519,0.974192752860778,0.974192752860778,0.974192752860778,0.972826651538621,0.965032729541413,0.998940620174558,0.965032729541413,0.998940620174558,0.998940620174558,0.974192752860778,0.965032729541413,0.972826651538621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ST,M,0.729879690614447,0.7246957524758,0.0622191188204842,0.617448845901923,0.68729432434129,0.71661071712072,0.753170779192848,0.858758063665871,0.617448845901923,0.68729432434129,0.71661071712072,0.753170779192848,0.805513821533771,0.858758063665871,0.858758063665871,0.858758063665871,0.858758063665871,0.858758063665871,0.858758063665871,0.858758063665871,0.858758063665871,0.858758063665871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ST,MF,0.861414154482721,0.862953050067976,0.0296808717769458,0.816355225811824,0.861414154482721,0.869683241340348,0.898203996295992,0.898203996295992,0.816355225811824,0.861414154482721,0.869683241340348,0.898203996295992,0.898203996295992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ST,MW,0.881430333527747,0.879833431570077,0.0776459011036017,0.726012829086478,0.798126987262822,0.881430333527747,0.936417475322875,0.990242006056385,0.726012829086478,0.798126987262822,0.881430333527747,0.936417475322875,0.990242006056385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
