"Variables","mantel_r","mantel_p"
"Distance",0.694955361417914,0.001
"pH",0.696814791882325,0.001
"Rainfall",0.781846929053416,0.001
"Temperature",0.477519260064037,0.001
"NH4.N",0.409669384818193,0.001
"NO3.N",0.160096883528253,0.002
"TN",0.487866061889522,0.001
"TC",0.485081141802699,0.001
"CN_ratio",0.521735639872278,0.001
