"Variables","mantel_r","mantel_p"
"Distance",0.341823741182605,0.001
"pH",0.398278098101048,0.001
"Rainfall",0.448492047669745,0.001
"Temperature",0.192939338066921,0.027
"NH4.N",0,0.061
"NO3.N",0,0.449
"TN",0.303533513522475,0.004
"TC",0.317751735591916,0.009
"CN_ratio",0.309426437712705,0.003
