"Variables","mantel_r","mantel_p"
"Distance",0,0.716
"pH",0,0.657
"Rainfall",0,0.966
"Temperature",0,0.621
"NH4.N",0.21689697901792,0.005
"NO3.N",0,0.518
"TN",0,0.301
"TC",0,0.065
"CN_ratio",0,0.731
"Plant_richness",0,0.09
