"Variables","mantel_r","mantel_p"
"Distance",0.684834496127751,0.001
"pH",0.492245886516259,0.001
"Rainfall",0.695360940295003,0.001
"Temperature",0.771922343642697,0.001
"NH4.N",0.231358992151645,0.001
"NO3.N",0.15776722439375,0.001
"TN",0.105374628652248,0.002
"TC",0.177982246616694,0.001
"CN_ratio",0.364728196798853,0.001
"Plant_richness",0.629585631917823,0.001
