"Variables","mantel_r","mantel_p"
"Distance",0.60201130760739,0.001
"pH",0.665397960467968,0.001
"Rainfall",0.521976581002619,0.001
"Temperature",0.442220211733555,0.001
"NH4.N",0.118475409861875,0.015
"NO3.N",0,0.964
"TN",0.208161471852563,0.001
"TC",0.198734694551123,0.002
"CN_ratio",0,0.15
"Plant_richness",0.274520154734117,0.001
