"ENV_var","mantel_r","mantel_p"
"pH",0.0654974754177118,0.045
"Rainfall",0.148535170186178,0.001
"Temperature",0.131449813205283,0.002
"NH4.N",0.133192875673702,0.006
"NO3.N",0,0.056
"TN",0,0.503
"TC",0,0.357
"CN_ratio",0.158560565869625,0.001
"Plant_richness",0.183009013027525,0.001
