,%IncMSE,IncNodePurity,p.value,node.p.value,,0.911
Distance,30.84990741,32.11888426,0.001,0.001,,
pH,90.18811835,14.81291734,0.001,1,,
Rainfall,22.46785496,22.91721975,0.003,0.001,,
Temperature,27.90277096,45.93366597,0.001,0.001,,
NH4.N,92.42810844,6.46668888,0.001,1,,
NO3.N,57.51848315,4.708025735,0.001,1,,
TN,50.6544669,3.602817756,0.001,1,,
TC,54.88881321,4.446415517,0.001,1,,
CN_ratio,48.59565151,11.39019224,0.001,1,,
Plant_richness,27.55700375,30.42783685,0.001,0.001,,
