"ENV_var","mantel_r","mantel_p"
"pH",0.671725895384278,0.001
"Rainfall",0.50220928540186,0.001
"Temperature",0.396811436826788,0.001
"NH4.N",0.125077283822775,0.007
"NO3.N",0,0.439
"TN",0.189639655643981,0.001
"TC",0.191694558399717,0.003
"CN_ratio",0,0.165
"Plant_richness",0.264302790780506,0.001
