,%IncMSE,IncNodePurity,p.value,node.p.value,,0.385
Distance,27.30211991,0.460664484,0.001,0.001,,
pH,33.11422039,1.468007108,0.001,1,,
Rainfall,26.04901286,0.349418454,0.001,0.052,,
Temperature,24.40353988,0.291714834,0.001,0.865,,
NH4.N,61.09603517,2.309730121,0.001,0.001,,
NO3.N,100.4225611,3.268298838,0.001,0.001,,
TN,58.65865395,1.541090547,0.001,1,,
TC,52.10999043,1.91234466,0.001,1,,
CN_ratio,47.35331519,1.779074839,0.001,1,,
Plant_richness,33.58733231,0.5527544,0.001,0.001,,
