"ENV_var","mantel_r","mantel_p"
"pH",0.463405511459275,0.001
"Rainfall",0.692921095118001,0.001
"Temperature",0.79265376725014,0.001
"NH4.N",0.253479046551019,0.001
"NO3.N",0.198637510327279,0.001
"TN",0.0769988315430877,0.003
"TC",0.178754034807096,0.001
"CN_ratio",0.531317303084846,0.001
"Plant_richness",0.753981392349832,0.001
