,%IncMSE,IncNodePurity,p.value,node.p.value,,0.78
Distance,45.77861562,7.461840375,0.001,0.001,,
pH,89.07092925,7.570191135,0.001,0.001,,
Rainfall,30.86696552,2.922180615,0.001,0.001,,
Temperature,36.04629288,2.541749508,0.001,0.969,,
NH4.N,20.76052735,0.933652956,0.001,1,,
NO3.N,15.47804595,0.964358883,0.001,1,,
TN,25.58372785,1.129207635,0.001,1,,
TC,23.24822855,0.924717764,0.001,1,,
CN_ratio,22.58021391,0.877936124,0.001,1,,
Plant_richness,39.99593586,1.400383127,0.001,1,,
