,%IncMSE,IncNodePurity,p.value,node.p.value,,0.547
Distance,27.48537481,0.190207956,0.001,0.001,,
pH,54.91497701,0.351863411,0.001,0.001,,
Rainfall,51.34677164,0.38937744,0.001,0.001,,
Temperature,18.82436354,0.053082268,0.001,0.494,,
NH4.N,28.84550769,0.220400635,0.001,1,,
NO3.N,32.8440375,0.196896891,0.001,1,,
TN,26.98424802,0.176841902,0.001,1,,
TC,24.81094499,0.212129802,0.001,1,,
CN_ratio,26.46185934,0.207326204,0.001,1,,
