"","Gradient","Mean.ST","Mean.NST","Inner-group.DEP","Inner-group.P.DEP","Outer-group.DEP","Outer-group.P.DEP","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt"
"1","Latitude (North America)","0.886796822208713","0.450841034368154","Homogenous selection","0.995238095238095","Homogenous selection","0.991080876795163","0.0705303548955504","0","0.92946964510445","0.0010147709845922","0","0.998985229015408"
"2","Altitude (SNNR)","0.841606712225559","0.400476851603143","Homogenous selection","0.902140672782875","Homogenous selection","0.88130381303813","0.0538172470137885","0","0.946182752986211","0.00182132661159935","0","0.998178673388401"
"3","Altitude (HKV)","0.838625593154411","0.246613655067959","Homogenous selection","1","Homogenous selection","1","0.0783242979856746","0","0.921675702014325","0.00207744409640347","0","0.997922555903597"
"4","Latitude (North America)","0.82503141815407","0.717237216680415","Drift","0.393650793650794","Dispersal limitation","0.832350718065004","0.613612978134304","0.0652563935103934","0.321130628355302","0.205694961191781","0.568022297429469","0.226282741378749"
"5","Altitude (SNNR)","0.842075199408345","0.789146140240228","Drift","0.593272171253823","Dispersal limitation","0.674046740467405","0.833920223169074","0.0197714303887964","0.14630834644213","0.550376438970262","0.29955787917796","0.150065681851778"
"6","Altitude (HKV)","0.842246291632922","0.738041793626232","Drift","0.507246376811594","Dispersal limitation","0.884387351778656","0.595343215049048","0.0842176022825461","0.320439182668406","0.264113314377036","0.597132847902515","0.138753837720449"
