"","Gradient","Inner-group.mean.ST","Inner-group.mean.NST","Inner-group.sd.NST","Inner-group.DEP","Inner-group.P.DEP","Between-group.mean.ST","Between-group.mean.NST","Between-group.sd.NST","Between-group.DEP","Between-group.P.DEP","Neutral.uw","Below.uw","Above.uw","Neutral.wt","Below.wt","Above.wt","m","Rsqr","AIC"
"1","Latitude (North America)","0.814740246296524","0.439957373990418","0.279382474560768","Homogenous selection","0.990476190476191","0.823670478575986","0.493350620808725","0.279382474560768","Homogenous selection","0.989720332577475","0.0705303548955504","0","0.92946964510445","0.0010147709845922","0","0.998985229015408","0.577490606166123","-2.27672480998801","173788.977557903"
"2","Altitude (SNNR)","0.75612909171699","0.400297150720477","0.284740867702477","Homogenous selection","0.91131498470948","0.75635451465545","0.420977768405242","0.284740867702477","Homogenous selection","0.882533825338253","0.0538172470137885","0","0.946182752986211","0.00182132661159935","0","0.998178673388401","0.630000727940772","-2.83185431587299","122636.760566456"
"3","Altitude (HKV)","0.738643368696959","0.243358024839518","0.0992161891445714","Homogenous selection","1","0.767219480004434","0.357553933492958","0.0992161891445714","Homogenous selection","0.99905303030303","0.0783242979856746","0","0.921675702014325","0.00207744409640347","0","0.997922555903597","0.560606045895321","-3.28058478927875","173396.620508783"
"4","Latitude (North America)","0.802185112216328","0.714210596435821","0.215944072552288","Drift","0.394444444444444","0.816731809656514","0.484383122989144","0.215944072552288","Dispersal limitation","0.827815570672713","0.613612978134304","0.0652563935103934","0.321130628355302","0.205694961191781","0.568022297429469","0.226282741378749","0.127681337414973","0.761832033561149","-39932.722180902"
"5","Altitude (SNNR)","0.828699344782205","0.768860092855629","0.247513919358649","Drift","0.587155963302752","0.878252433244252","0.662094510991535","0.247513919358649","Dispersal limitation","0.667281672816728","0.833920223169074","0.0197714303887964","0.14630834644213","0.550376438970262","0.29955787917796","0.150065681851778","0.435967048394221","0.777022607521971","-144523.226422157"
"6","Altitude (HKV)","0.817135475592182","0.730309443050296","0.216958536289528","Drift","0.536231884057971","0.820421109255216","0.349734844119862","0.216958536289528","Dispersal limitation","0.883399209486166","0.595343215049048","0.0842176022825461","0.320439182668406","0.264113314377036","0.597132847902515","0.138753837720449","0.0303429893940902","0.226820492876573","-21073.8113968455"
