"","row","col","Dist","Method","Metric","row.Site","col.Site","Comparison","Study"
"59","GM13","GM9",0.203524993238048,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"60","GM14","GM9",0.153043795833445,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"61","GM3","GM9",0.0692405210212649,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"62","GM4","GM9",0.0720198843433531,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"63","GM5","GM9",0.106533486801951,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"64","GM6","GM9",0.169130172273876,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"65","GM7","GM9",0.141611234523981,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"66","GM8","GM9",0.0865128984022319,"Jaccard","Abundance","SF","SF","Within-group","Altitude (SNNR)"
"67","GM1","HJ10",0.159926151827445,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"68","GM10","HJ10",0.318329119282117,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"69","GM12","HJ10",0.0534157683378677,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"70","GM13","HJ10",0.16506005718986,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"71","GM14","HJ10",0.214325198885759,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"72","GM3","HJ10",0.37873493783936,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"73","GM4","HJ10",0.286109727103613,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"74","GM5","HJ10",0.256005618108136,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"75","GM6","HJ10",0.199617024854781,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"76","GM7","HJ10",0.22555303822633,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"77","GM8","HJ10",0.390217410789768,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"78","GM9","HJ10",0.333745439086303,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"79","GM1","HJ11",0.264049762441185,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"80","GM10","HJ11",0.0922153684050142,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"81","GM12","HJ11",0.385656790730617,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"82","GM13","HJ11",0.258266417836874,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"83","GM14","HJ11",0.211108981260609,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"84","GM3","HJ11",0.0229486181897804,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"85","GM4","HJ11",0.13207171262454,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"86","GM5","HJ11",0.167314580664158,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"87","GM6","HJ11",0.226105310219724,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"88","GM7","HJ11",0.200082641500803,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"89","GM8","HJ11",0.0285631847355527,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"90","GM9","HJ11",0.0726316150178556,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"91","HJ10","HJ11",0.379688575165885,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"92","GM1","HJ12",0.104675882151825,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"93","GM10","HJ12",0.273446150609068,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"94","GM12","HJ12",0.0797201922257903,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"95","GM13","HJ12",0.113386828180848,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"96","GM14","HJ12",0.16338744041056,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"97","GM3","HJ12",0.337887054239873,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"98","GM4","HJ12",0.238945638278446,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"99","GM5","HJ12",0.207202823603857,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"100","GM6","HJ12",0.146900012425105,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"101","GM7","HJ12",0.175482751926643,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"102","GM8","HJ12",0.350202938408757,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"103","GM9","HJ12",0.290067353495529,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"104","HJ10","HJ12",0.0742809186503877,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"105","HJ11","HJ12",0.338956512166178,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"106","GM1","HJ13",0.193008145133663,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"107","GM10","HJ13",0.346594250969797,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"108","GM12","HJ13",0.0550301106614075,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"109","GM13","HJ13",0.199452867006862,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"110","GM14","HJ13",0.246656451000529,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"111","GM3","HJ13",0.404614291973996,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
