"","Type","Study","Counts","Total","Type_ratio"
"1","Endemic","Latitude (North America)",2851,81373,"3.504%"
"2","Endemic","Altitude (SNNR)",300,60970,"0.492%"
"3","Endemic","Altitude (HKV)",6830,78062,"8.749%"
"4","Occasional","Latitude (North America)",15938,81373,"19.586%"
"5","Occasional","Altitude (SNNR)",10831,60970,"17.764%"
"6","Occasional","Altitude (HKV)",28667,78062,"36.723%"
"7","Ubiquitous","Latitude (North America)",62584,81373,"76.910%"
"8","Ubiquitous","Altitude (SNNR)",49839,60970,"81.743%"
"9","Ubiquitous","Altitude (HKV)",42565,78062,"54.527%"
