Index,Group,obs,mean,stdev,Min,Quantile25,Median,Quantile75,Max,LowerWhisker,LowerHinge,Median.1,HigherHinge,HigherWhisker,Outlier1,Outlier2,Outlier3,Outlier4,Outlier5,Outlier6,Outlier7,Outlier8
1,ST,SF,0.86548183598187,0.868652912119931,0.0236833173555116,0.790925597831251,0.854414646403138,0.87095426871157,0.882994499502704,0.922837227168487,0.825993455483171,0.854414646403138,0.87095426871157,0.882994499502704,0.922837227168487,0.790925597831251,NA,NA,NA,NA,NA,NA,NA
2,ST,CBF,0.774165418928769,0.767039578473253,0.0497832253839529,0.642884922917627,0.724841205803666,0.774399327034068,0.799683604341246,0.891920354030743,0.642884922917627,0.724841205803666,0.774399327034068,0.799683604341246,0.891920354030743,NA,NA,NA,NA,NA,NA,NA,NA
3,ST,BEF,0.865673583465859,0.865513585715413,0.0228393521973802,0.801522744840672,0.852338966872383,0.864162555023322,0.881307886518507,0.910399702876242,0.822581627739663,0.852338966872383,0.864162555023322,0.881307886518507,0.910399702876242,0.806366752216523,0.801522744840672,NA,NA,NA,NA,NA,NA
4,ST,NSF,0.887957150740172,0.889484048898158,0.0187849345904853,0.825820040306864,0.881185879412404,0.891698693561001,0.902514074268846,0.924713798152229,0.851992494546843,0.881185879412404,0.891698693561001,0.902514074268846,0.924713798152229,0.825820040306864,0.835618923448062,0.84745527534455,0.846136303344283,0.83649116191897,NA,NA,NA
5,ST,BDF,0.831392887342159,0.834863066457042,0.0267454997492558,0.7433413420884,0.822725087838147,0.843088814086267,0.854191721790278,0.886122111631088,0.791991050957094,0.822725087838147,0.843088814086267,0.854191721790278,0.886122111631088,0.761262108910172,0.7433413420884,0.7433413420884,0.766374700506794,0.767020448514771,0.761262108910172,NA,NA
6,ST,CF,0.814923961433414,0.814060072554726,0.039007453822713,0.706137600879668,0.793196360456082,0.821804508269204,0.840914704930494,0.886512084184572,0.724855161577842,0.793196360456082,0.821804508269204,0.840914704930494,0.886512084184572,0.719383479067655,0.707165508152123,0.706137600879668,NA,NA,NA,NA,NA
7,NST,SF,0.864147530079158,0.848435508463797,0.0386124209709452,0.72163556452416,0.818775132117727,0.855221936952538,0.874675030332007,0.937433743498388,0.76807986305468,0.818775132117727,0.855221936952538,0.874675030332007,0.937433743498388,0.72163556452416,NA,NA,NA,NA,NA,NA,NA
8,NST,CBF,0.678851793396105,0.654099767637431,0.073097043293978,0.488576814158842,0.599040170989435,0.661066876328119,0.69057580908366,0.852116803017368,0.488576814158842,0.599040170989435,0.661066876328119,0.69057580908366,0.820846331817452,0.852116803017368,NA,NA,NA,NA,NA,NA,NA
9,NST,BEF,0.777154548974242,0.749067580924708,0.0595824852104036,0.566792918418937,0.712209532844653,0.754963568977012,0.788094581351173,0.890470706699048,0.610386273673137,0.712209532844653,0.754963568977012,0.788094581351173,0.890470706699048,0.566792918418937,NA,NA,NA,NA,NA,NA,NA
10,NST,NSF,0.861673034084125,0.855709959206685,0.0413810580226762,0.711423757422262,0.838358880218227,0.861673034084125,0.885827920006662,0.920941538124635,0.773413016734165,0.838358880218227,0.861673034084125,0.885827920006662,0.920941538124635,0.760933965452991,0.742270367076385,0.742767291974378,0.752626140339682,0.747369832619092,0.711423757422262,NA,NA
11,NST,BDF,0.75537168643614,0.749476511749244,0.0438202389146755,0.58924254165533,0.740519108506974,0.763999314329741,0.777184318991992,0.827240141517361,0.711269646330778,0.740519108506974,0.763999314329741,0.777184318991992,0.827240141517361,0.625865385217959,0.660204573780896,0.660204573780896,0.58924254165533,0.58924254165533,0.616988116115393,0.631166554074532,0.625865385217959
12,NST,CF,0.734644578361993,0.71451303951736,0.067010188994985,0.518319360323776,0.674721250007112,0.71592722569117,0.758723227738377,0.874526525471761,0.578671920025413,0.674721250007112,0.71592722569117,0.758723227738377,0.874526525471761,0.518319360323776,NA,NA,NA,NA,NA,NA,NA
13,MST,SF,0.784208123343485,0.78891070686464,0.0351087490765368,0.668288879430291,0.767396430313415,0.79265498733306,0.813180466896825,0.870889685926191,0.723040510968325,0.767396430313415,0.79265498733306,0.813180466896825,0.870889685926191,0.668288879430291,NA,NA,NA,NA,NA,NA,NA
14,MST,CBF,0.63244024317583,0.623326939594582,0.0690886674806881,0.457417988540783,0.571818513595687,0.6307326469827,0.663822194160574,0.820908353491215,0.457417988540783,0.571818513595687,0.6307326469827,0.663822194160574,0.777050706349551,0.820908353491215,NA,NA,NA,NA,NA,NA,NA
15,MST,BEF,0.666887927515571,0.666893318584774,0.0578871952793058,0.511759647752818,0.636964798526005,0.665464540833445,0.704486570664146,0.791044697691496,0.554774222175404,0.636964798526005,0.665464540833445,0.704486570664146,0.791044697691496,0.514315088507814,0.511759647752818,NA,NA,NA,NA,NA,NA
16,MST,NSF,0.781424941705287,0.783348900625578,0.035939373357335,0.65959163101265,0.767719126915969,0.788889211496959,0.808953385692609,0.845765498421934,0.707299580647845,0.767719126915969,0.788889211496959,0.808953385692609,0.845765498421934,0.704827026235859,0.687065946292073,0.698026150058433,0.682351578952456,0.65959163101265,NA,NA,NA
17,MST,BDF,0.721358738055283,0.726959603827173,0.0431638294710277,0.583840469954328,0.707277289405136,0.73867171094747,0.756868250045704,0.811546463159453,0.653756082115494,0.707277289405136,0.73867171094747,0.756868250045704,0.811546463159453,0.608855751086832,0.583840469954328,0.583840469954328,0.61398598232318,0.616392129179046,0.608855751086832,NA,NA
