index,group1,group2,Index.group1,Index.group2,Difference,F.obs,P.anova,P.panova,P.perm
1,ST,all.grp,all.grp,NA,NA,NA,10.8231239200862,1.23769639897684e-09,0.0198019801980198,NA
2,ST,6,3,0.86548183598187,0.774165418928769,0.0913164170531009,22.6880178138253,5.01146654366126e-06,0.0693069306930693,0.495049504950495
3,ST,6,2,0.86548183598187,0.865673583465859,-0.000191747483988869,0.000100750255331311,0.992013147893314,1,0.227722772277228
4,ST,6,5,0.86548183598187,0.887957150740172,-0.0224753147583023,2.6780308747929,0.103770325078148,0.376237623762376,0.0594059405940595
5,ST,6,1,0.86548183598187,0.831392887342159,0.0340889486397102,1.53323120009084,0.21954205350346,0.425742574257426,0.391089108910891
6,ST,6,4,0.86548183598187,0.814923961433414,0.0505578745484559,6.98318796283792,0.0092387027630592,0.227722772277228,0.46039603960396
7,ST,3,2,0.774165418928769,0.865673583465859,-0.0915081645370898,11.6272877458782,0.000966659885758562,0.0396039603960396,0.00495049504950495
8,ST,3,5,0.774165418928769,0.887957150740172,-0.113791731811403,43.600016439302,6.07148554735379e-10,0.0297029702970297,0.00990099009900991
9,ST,3,1,0.774165418928769,0.831392887342159,-0.0572274684133907,1.8631638023997,0.176395911104822,0.277227722772277,0.0891089108910891
10,ST,3,4,0.774165418928769,0.814923961433414,-0.0407585425046449,3.22068137255766,0.0750371150393936,0.574257425742574,0.138613861386139
11,ST,2,5,0.865673583465859,0.887957150740172,-0.0222835672743135,1.4733949841924,0.22725537842583,0.544554455445545,0.138613861386139
12,ST,2,1,0.865673583465859,0.831392887342159,0.0342806961236991,1.46419109110171,0.234150126974836,0.356435643564356,0.435643564356436
13,ST,2,4,0.865673583465859,0.814923961433414,0.0507496220324448,3.59398816863917,0.0611278175394639,0.277227722772277,0.47029702970297
14,ST,5,1,0.887957150740172,0.831392887342159,0.0565642633980126,4.25133804301856,0.0418393394994161,0.158415841584158,0.445544554455445
15,ST,5,4,0.887957150740172,0.814923961433414,0.0730331893067583,18.0258923970754,3.74175215555717e-05,0.0495049504950495,0.5
16,ST,1,4,0.831392887342159,0.814923961433414,0.0164689259087457,0.155187007844637,0.694759829740136,0.683168316831683,0.297029702970297
17,NST,all.grp,all.grp,NA,NA,NA,8.017358193068,3.86356199304521e-07,0.118811881188119,NA
18,NST,6,3,0.864147530079158,0.678851793396105,0.185295736683053,25.2282225334169,1.64561400259513e-06,0.0495049504950495,0.495049504950495
19,NST,6,2,0.864147530079158,0.777154548974242,0.0869929811049165,4.54011574025152,0.035776581228333,0.257425742574257,0.341584158415842
20,NST,6,5,0.864147530079158,0.861673034084125,0.00247449599503358,0.00766628457312586,0.930341539699593,0.95049504950495,0.232673267326733
21,NST,6,1,0.864147530079158,0.75537168643614,0.108775843643018,4.32352423245537,0.04105425103074,0.336633663366337,0.336633663366337
22,NST,6,4,0.864147530079158,0.734644578361993,0.129502951717166,11.2846862788785,0.00102587877791189,0.198019801980198,0.455445544554455
23,NST,3,2,0.678851793396105,0.777154548974242,-0.0983027555781365,3.20356799088838,0.0767678718978976,0.247524752475248,0.0544554455445545
24,NST,3,5,0.678851793396105,0.861673034084125,-0.182821240688019,27.6142265837331,4.82724059074663e-07,0.0396039603960396,0.0297029702970297
25,NST,3,1,0.678851793396105,0.75537168643614,-0.0765198930400347,0.895975121709793,0.346943951123694,0.316831683168317,0.0693069306930693
26,NST,3,4,0.678851793396105,0.734644578361993,-0.0557927849658875,1.51463835499938,0.220654800769791,0.603960396039604,0.163366336633663
27,NST,2,5,0.777154548974242,0.861673034084125,-0.0845184851098829,4.11082029335137,0.0448818932398924,0.386138613861386,0.158415841584158
28,NST,2,1,0.777154548974242,0.75537168643614,0.0217828625381018,0.0914721725766032,0.764054482863426,0.900990099009901,0.212871287128713
29,NST,2,4,0.777154548974242,0.734644578361993,0.042509970612249,0.545380249620604,0.462091290803443,0.504950495049505,0.405940594059406
30,NST,5,1,0.861673034084125,0.75537168643614,0.106301347647985,3.25444815780351,0.074270966992125,0.277227722772277,0.371287128712871
31,NST,5,4,0.861673034084125,0.734644578361993,0.127028455722132,12.403209441346,0.000563225489968053,0.108910891089109,0.48019801980198
32,NST,1,4,0.75537168643614,0.734644578361993,0.0207271080741472,0.0582840303943905,0.809896663349472,0.792079207920792,0.351485148514851
33,MST,all.grp,all.grp,NA,NA,NA,9.28970918045845,2.81754110427654e-08,0.0297029702970297,NA
34,MST,6,3,0.784208123343485,0.63244024317583,0.151767880167655,30.1344843580267,2.03443710773162e-07,0.0198019801980198,0.495049504950495
35,MST,6,2,0.784208123343485,0.666887927515571,0.117320195827914,10.0166772363595,0.00210355941771589,0.0693069306930693,0.410891089108911
36,MST,6,5,0.784208123343485,0.781424941705287,0.0027831816381978,0.0138565162648347,0.906446908061767,0.891089108910891,0.247524752475248
37,MST,6,1,0.784208123343485,0.721358738055283,0.0628493852882016,2.18897560542017,0.143246440388824,0.316831683168317,0.321782178217822
38,MST,6,4,0.784208123343485,0.666524924251665,0.117683199091819,15.7511579612377,0.000118834386171371,0.168316831683168,0.46039603960396
39,MST,3,2,0.63244024317583,0.666887927515571,-0.0344476843397405,0.604644105629153,0.438806578805694,0.643564356435644,0.168316831683168
40,MST,3,5,0.63244024317583,0.781424941705287,-0.148984698529457,30.0555512431218,1.66837415986499e-07,0.0693069306930693,0.0445544554455446
41,MST,3,1,0.63244024317583,0.721358738055283,-0.088918494879453,2.28467463948455,0.134916415131486,0.198019801980198,0.0544554455445545
