Index,group1,group2,group1.obs,group2.obs,w.value.W,p.wtest,p.count,w.value.noOut.W,p.wtest.noOut,p.count.noOut
1,ST,6,3,0.86548183598187,0.774165418928769,9865,9.53573048722068e-31,0.0329379472600725,9795,6.11443406458415e-31,0.0301980198019802
2,ST,6,2,0.86548183598187,0.865673583465859,5515,0.159478793201495,0.540633271247917,5315,0.184769385314789,0.536868686868687
3,ST,6,5,0.86548183598187,0.887957150740172,2333,1.36113744718832e-11,0.228703068326635,1888,1.11722781459671e-13,0.196666666666667
4,ST,6,1,0.86548183598187,0.831392887342159,8616,1.31489539564064e-17,0.155376923830997,8010,6.41346961702257e-17,0.156842105263158
5,ST,6,4,0.86548183598187,0.814923961433414,9190,3.66533370181065e-23,0.0991079305950397,8868,3.72390321394671e-23,0.0951020408163265
6,ST,3,2,0.774165418928769,0.865673583465859,348,1.33071014234057e-30,0.0341143025193608,306,9.61692900092221e-31,0.0306030603060306
7,ST,3,5,0.774165418928769,0.887957150740172,112,1.62520689961745e-33,0.0109793157533575,76,4.16121356566595e-33,0.00783828382838284
8,ST,3,1,0.774165418928769,0.831392887342159,1146,8.7617808999991e-22,0.112341927262033,782,2.32562652183824e-24,0.0815007816571131
9,ST,3,4,0.774165418928769,0.814923961433414,2229,2.40259545153756e-12,0.218507989412803,1973,1.18637380998297e-13,0.199333198625985
10,ST,2,5,0.865673583465859,0.887957150740172,2078,1.73575796379656e-13,0.203705519066758,1637,1.34041482072129e-15,0.172243265993266
11,ST,2,1,0.865673583465859,0.831392887342159,8351,2.55885331276147e-15,0.18135476914028,7739,4.03628298315859e-15,0.177139819245082
12,ST,2,4,0.865673583465859,0.814923961433414,9075,5.53362225282308e-22,0.110381335163219,8710,2.61202288155355e-22,0.102246959389817
13,ST,5,1,0.887957150740172,0.831392887342159,9853,1.32154532995495e-30,0.0341143025193608,9036,5.22391395188937e-32,0.00921052631578947
14,ST,5,4,0.887957150740172,0.814923961433414,9924,1.82948678412409e-31,0.0271542005685717,9267,9.19610992986594e-32,0.0149872448979592
15,ST,1,4,0.831392887342159,0.814923961433414,6994,2.59241249253404e-06,0.3143809430448,6643,1.50132382886043e-07,0.286466165413534
16,NST,6,3,0.864147530079158,0.678851793396105,10090,1.57858634985153e-33,0.0108812861484168,9952,5.38185453312865e-34,0.0048
17,NST,6,2,0.864147530079158,0.777154548974242,9414,1.48970387371746e-25,0.0771492990883247,9283,6.3321788116752e-26,0.0717
18,NST,6,5,0.864147530079158,0.861673034084125,4382,0.0419577626180143,0.570434271149887,3781,0.0069726183593247,0.602
19,NST,6,1,0.864147530079158,0.75537168643614,9968,5.23294026049885e-32,0.0228408979511813,9149,2.0071051142293e-31,0.0162365591397849
20,NST,6,4,0.864147530079158,0.734644578361993,9803,5.29012860276089e-30,0.0390157827663955,9651,3.19630584709303e-30,0.0349
21,NST,3,2,0.678851793396105,0.777154548974242,1591,1.49381636803085e-17,0.155965101460641,1408,8.51201541549712e-19,0.1408
22,NST,3,5,0.678851793396105,0.861673034084125,117,1.879631568564e-33,0.011469463778061,14,1.36611279255041e-33,0.00147368421052632
23,NST,3,1,0.678851793396105,0.75537168643614,1367,1.27333134418692e-19,0.134006469953926,749,4.15333270287827e-24,0.0805376344086021
24,NST,3,4,0.678851793396105,0.734644578361993,2686,3.10314725774183e-09,0.263307518870699,2490,4.34767316457188e-10,0.249
25,NST,2,5,0.777154548974242,0.861673034084125,743,4.88358144334321e-26,0.0728359964709342,394,1.01330149404527e-28,0.0414736842105263
26,NST,2,1,0.777154548974242,0.75537168643614,4869,0.289069623253249,0.52269385354377,4088,0.0737825285300857,0.560430107526882
27,NST,2,4,0.777154548974242,0.734644578361993,6675,7.56230242651583e-05,0.34565238702088,6574,6.03560842832619e-05,0.3426
28,NST,5,1,0.861673034084125,0.75537168643614,9724,4.51664749550899e-29,0.0467601215567101,8790,4.9745717855009e-32,0.00509337860780985
29,NST,5,4,0.861673034084125,0.734644578361993,9773,1.20246749544349e-29,0.0419566709146162,9278,7.09639520738694e-31,0.0233684210526316
30,NST,1,4,0.75537168643614,0.734644578361993,7087,8.71897053785299e-07,0.305264189785315,6902,3.18154720822566e-09,0.257849462365591
31,MST,6,3,0.784208123343485,0.63244024317583,9980,3.74729085924105e-32,0.021664542691893,9888,3.57145457914971e-33,0.0112
32,MST,6,2,0.784208123343485,0.666887927515571,9881,6.10553775962841e-31,0.0313694735810215,9626,5.85392330599998e-31,0.0276767676767677
33,MST,6,5,0.784208123343485,0.781424941705287,5426,0.217002600380208,0.468091363591805,4925,0.376908263616986,0.486979166666667
34,MST,6,1,0.784208123343485,0.721358738055283,9062,7.44928744624899e-22,0.111655720027448,8454,2.66677786233433e-21,0.110105263157895
35,MST,6,4,0.784208123343485,0.666524924251665,9949,9.03403180431681e-32,0.0247034604450544,9794,5.50688644478221e-32,0.0206
36,MST,3,2,0.63244024317583,0.666887927515571,3144,1.24721290763917e-06,0.308205077933536,2850,1.17917172534784e-07,0.287878787878788
37,MST,3,5,0.63244024317583,0.781424941705287,258,1.07046258070637e-31,0.0252916380746986,94,1.03831932475079e-32,0.00979166666666667
